cell_id,p_hotspot_next
3974.0_163.0,0.7164430603222252
3974.0_78.0,0.7163950739917737
3959.0_123.0,0.7163793104338764
4029.0_78.0,0.7163719934812414
4099.0_123.0,0.7161242592361121
4059.0_78.0,0.7160821380499416
4099.0_78.0,0.7160244697279822
3954.0_123.0,0.7159020669410874
3934.0_188.0,0.7157166282434076
3964.0_88.0,0.7156945065584126
3994.0_153.0,0.7156797625547476
4004.0_133.0,0.7156754389123817
4009.0_298.0,0.7156524248718371
3929.0_183.0,0.7156182537961351
3974.0_73.0,0.7154797903426058
4039.0_133.0,0.71533105520195
4014.0_223.0,0.7152863255374802
4034.0_78.0,0.7152811650876028
4029.0_118.0,0.7152484282051035
3994.0_218.0,0.7152204569008072
3914.0_263.0,0.7151957090284085
4094.0_68.0,0.71518190672367
4079.0_108.0,0.715156791631723
4094.0_83.0,0.7151512951960441
4049.0_128.0,0.7150955298646839
4084.0_168.0,0.7150717970126432
3989.0_48.0,0.7150703601257848
3999.0_73.0,0.7150056801024954
4054.0_198.0,0.7148376290834497
4024.0_138.0,0.7148166669368636
3964.0_218.0,0.7146839982434136
3999.0_218.0,0.7146297346722347
3949.0_193.0,0.7146157231857055
4094.0_118.0,0.7145138351133401
3924.0_258.0,0.7144422949288938
3949.0_98.0,0.7143438362970345
4089.0_58.0,0.7143087454212889
4034.0_108.0,0.7141620127382594
4049.0_148.0,0.7141097364716443
3944.0_193.0,0.7140520176346735
4089.0_78.0,0.7140155642563837
4059.0_98.0,0.7139539884074662
4074.0_128.0,0.7139460484570418
4094.0_123.0,0.7139162250522652
4014.0_108.0,0.7139130780212994
3964.0_108.0,0.7138944281161391
3914.0_248.0,0.7138650165976228
4054.0_33.0,0.7138592327674222
3984.0_83.0,0.7137188497615563
4069.0_53.0,0.7137089861526158
3964.0_83.0,0.713707534289322
3999.0_208.0,0.7136738065414102
4004.0_48.0,0.7136632372136069
4049.0_83.0,0.71346411479285
4064.0_53.0,0.713449845194416
3989.0_118.0,0.7134022731457544
4004.0_293.0,0.7133402873415051
4034.0_118.0,0.7131611832845836
3964.0_223.0,0.7131550013015205
4089.0_53.0,0.7131156093783062
4004.0_63.0,0.7131001854511002
4019.0_83.0,0.7130776445661908
4079.0_178.0,0.7130395028383458
4019.0_68.0,0.712809401645417
3979.0_88.0,0.7127761322031535
4099.0_73.0,0.7127710248126198
3969.0_103.0,0.7126653528090642
4094.0_63.0,0.7124724696888576
4054.0_58.0,0.7124216055116116
3969.0_73.0,0.7123495638534464
3949.0_183.0,0.7123122750443498
4034.0_233.0,0.712183361859675
4004.0_178.0,0.7120708203267567
4029.0_123.0,0.7120420251991207
4039.0_103.0,0.712029710299047
3984.0_78.0,0.7119613042769762
3989.0_123.0,0.7119319004657947
4059.0_28.0,0.7116145496258426
3984.0_153.0,0.7116078785398159
4054.0_263.0,0.7115725045809749
