cell_id,p_hotspot_next,mid_date,mobility_count,anomaly_prob_norm
4059.0_168.0,0.5430149129918929,2015-01-01,,
4084.0_193.0,0.543043902003204,2015-01-01,,
4029.0_273.0,0.5431484607399691,2015-01-01,,
4034.0_218.0,0.5438525817737141,2015-01-01,,
4029.0_218.0,0.5440297500649729,2015-01-01,,
4089.0_148.0,0.5440318056451906,2015-01-01,,
4004.0_258.0,0.544088303646876,2015-01-01,,
4059.0_218.0,0.5441897749908897,2015-01-01,,
4039.0_238.0,0.5441971287905939,2015-01-01,,
4089.0_113.0,0.5328283376929314,2015-01-01,,
4044.0_288.0,0.5443832312838656,2015-01-01,,
4029.0_248.0,0.528587111140003,2015-01-01,,
4034.0_258.0,0.5267339475094518,2015-01-01,,
3974.0_303.0,0.4991492558626049,2015-01-01,,
3934.0_263.0,0.4992135132606001,2015-01-01,,
3914.0_198.0,0.4992371616906854,2015-01-01,,
4009.0_303.0,0.4996266357388238,2015-01-01,,
4069.0_198.0,0.4996646848849567,2015-01-01,,
3934.0_298.0,0.4996717703506093,2015-01-01,,
3959.0_303.0,0.5006016602935354,2015-01-01,,
3929.0_198.0,0.501033048662714,2015-01-01,,
3964.0_158.0,0.5014784156392277,2015-01-01,,
4019.0_268.0,0.5032023723087263,2015-01-01,,
3939.0_288.0,0.5033499833182236,2015-01-01,,
4009.0_273.0,0.5044323177310347,2015-01-01,,
3959.0_153.0,0.5052270196333141,2015-01-01,,
3959.0_298.0,0.5084759678634176,2015-01-01,,
4054.0_218.0,0.510911530613907,2015-01-01,,
3959.0_313.0,0.5115665817441555,2015-01-01,,
3969.0_288.0,0.5169519951776261,2015-01-01,,
3999.0_313.0,0.5172619738129645,2015-01-01,,
3969.0_308.0,0.5174786212528298,2015-01-01,,
3949.0_298.0,0.5179213112010658,2015-01-01,,
3964.0_348.0,0.5199505135230038,2015-01-01,,
3954.0_333.0,0.5213807388956855,2015-01-01,,
3954.0_268.0,0.5220752989352688,2015-01-01,,
4019.0_273.0,0.5230331101138114,2015-01-01,,
4024.0_283.0,0.5239607051330638,2015-01-01,,
4089.0_168.0,0.5272776206072606,2015-01-01,,
3969.0_188.0,0.4990235228941029,2015-01-01,,
4069.0_178.0,0.5443895787582222,2015-01-01,,
4089.0_213.0,0.5444745404763955,2015-01-01,,
3979.0_188.0,0.551709439186196,2015-01-01,,
4014.0_238.0,0.5517864229010139,2015-01-01,,
4049.0_188.0,0.552094811190155,2015-01-01,,
4039.0_208.0,0.5521011300305319,2015-01-01,,
4039.0_203.0,0.5521829286469075,2015-01-01,,
4074.0_173.0,0.5523008071217624,2015-01-01,,
4024.0_198.0,0.5523129347119544,2015-01-01,,
4029.0_213.0,0.5524545769998069,2015-01-01,,
3999.0_198.0,0.5527001430464114,2015-01-01,,
3949.0_253.0,0.5527004333063266,2015-01-01,,
3994.0_193.0,0.552721512212429,2015-01-01,,
4079.0_133.0,0.5527406571635891,2015-01-01,,
4089.0_138.0,0.5527761666779802,2015-01-01,,
3994.0_113.0,0.5530195519736889,2015-01-01,,
3904.0_243.0,0.5532575372579732,2015-01-01,,
4089.0_143.0,0.5533646954323806,2015-01-01,,
4019.0_178.0,0.5534840454037327,2015-01-01,,
4019.0_118.0,0.5541139339322372,2015-01-01,,
4004.0_233.0,0.5541356774477739,2015-01-01,,
4004.0_203.0,0.5543151254382983,2015-01-01,,
3959.0_253.0,0.5543447242566423,2015-01-01,,
4084.0_133.0,0.555056655433099,2015-01-01,,
4044.0_163.0,0.5551138742474353,2015-01-01,,
4054.0_243.0,0.5553890527783358,2015-01-01,,
4029.0_198.0,0.5555315251246606,2015-01-01,,
4039.0_188.0,0.5508877557572548,2015-01-01,,
4069.0_88.0,0.5443931771225552,2015-01-01,,
3939.0_283.0,0.55038415682151,2015-01-01,,
3984.0_113.0,0.5500478181950141,2015-01-01,,
4009.0_103.0,0.5448295795201361,2015-01-01,,
4054.0_203.0,0.5458759418389643,2015-01-01,,
4084.0_138.0,0.5459076870009152,2015-01-01,,
4034.0_203.0,0.5460280636514643,2015-01-01,,
4084.0_218.0,0.5460548017227066,2015-01-01,,
4029.0_268.0,0.5460882732466424,2015-01-01,,
4069.0_113.0,0.5461587271804617,2015-01-01,,
4029.0_223.0,0.5463878105594824,2015-01-01,,
4009.0_203.0,0.5464343972529512,2015-01-01,,
4074.0_58.0,0.5465567525527588,2015-01-01,,
4034.0_248.0,0.5466307341543899,2015-01-01,,
4014.0_248.0,0.5468912791607033,2015-01-01,,
4064.0_218.0,0.5474065533586416,2015-01-01,,
4094.0_183.0,0.5475920773923417,2015-01-01,,
4094.0_138.0,0.5476039470680039,2015-01-01,,
